itération proies predateurs
0 20 20
1 32 30
2 41 47
3 59 74
4 75 111
5 81 167
6 101 256
7 90 353
8 94 417
9 113 374
10 112 343
11 122 348
12 137 297
13 170 209
14 201 190
15 255 129
16 303 133
17 341 137
18 383 142
19 459 153
20 478 188
21 516 243
22 519 238
23 516 296
24 508 320
25 490 364
26 418 409
27 355 419
28 324 433
29 277 436
30 252 432
31 195 408
32 172 404
33 159 322
34 151 215
35 159 145
36 155 122
37 162 119
38 192 81
39 219 49
40 242 34
41 249 18
42 280 17
43 319 26
44 352 19
45 411 19
46 416 23
47 441 27
48 494 32
49 523 31
50 531 24
51 510 25
52 490 26
53 439 26
54 374 32
55 342 23
56 301 15
57 255 4
58 266 3
59 244 5
60 233 8
61 238 0
62 236 0
63 251 0
64 293 0
65 330 0
66 318 0
67 343 0
68 325 0
69 344 0
70 347 0
71 334 0
72 364 0
73 378 0
74 367 0
